Medio,Contacto,Comentarios,Tag,Proyecto ,Phone Number,Prefilled Text,URL
Bancos,Chatbot,,Banco,PPO,50247693292,"Hola, vi la información en el banco, estoy interesado en Parque Portales",https://wa.me/50247693292?text=Hola%2C%20vi%20la%20informaci%C3%B3n%20en%20el%20banco%2C%20estoy%20interesado%20en%20Parque%20Portales
Página web,Chatbot,Cualquier call to action de contacto todo dirigido al Chatbot,Web,PPOL,50247693292,"Hola, quiero información de Parque Polanco",https://wa.me/50247693292?text=Hola%2C%20quiero%20informaci%C3%B3n%20del%20Parque%20Polanco
Cerramientos y señalización outdoor,Página web,El objetivo es que el cliente conozca más y entonces decida hablar con el chatbot.,Outdoor,PPOL,,,
Comunicación en City Cores,Chatbot,Necesario que esté con información para ubicar al usuario,City Core,PPOL,50247693292,"Hola, vi la información en un anuncio, estoy interesado en Parque Polanco",https://wa.me/50247693292?text=Hola%2C%20vi%20la%20informaci%C3%B3n%20en%20un%20anuncio%2C%20estoy%20interesado%20en%20Parque%20Polanco
Materiales impresos para activaciones/toques en frío,Página web,El objetivo es que el cliente conozca más y entonces decida hablar con el chatbot.,POP,PPOL,,,
Redes sociales Orgánico,Chatbot,Escrito en el copy de cada post,Social Media,PPOL,50247693292,"Hola, vi la información en Redes Sociales, estoy interesado en Parque Polanco",https://wa.me/50247693292?text=Hola%2C%20vi%20la%20informaci%C3%B3n%20en%20Redes%20Sociales%2C%20estoy%20interesado%20en%20Parque%20Polanco
Redes sociales Pauta,Llenado de formulario,En horario nocturno el CRM tiene que tener programado que se le asigna a Chatbot,NA,PPOL,,,
Redes sociales Pauta,Llenado de formulario,En horario hábil el CRM tiene que tener programado que ingresa como Admin CRM para ser asignado a asesor según la política existente,NA,PPOL,,,
Encabezado de fan page,Chatbot/Página web,,Fan Page,PPOL,50247693292,"Hola, vi la información en la Fan Page, estoy interesado en Parque Polanco",https://wa.me/50247693292?text=Hola%2C%20vi%20la%20informaci%C3%B3n%20en%20la%20Fan%20Page%2C%20estoy%20interesado%20en%20Parque%20Polanco
Mailings,Chatbot,,Mail,PPOL,50247693292,"Hola, vi la información por email, estoy interesado en Parque Polanco",https://wa.me/50247693292?text=Hola%2C%20vi%20la%20informaci%C3%B3n%20por%20email%2C%20estoy%20interesado%20en%20Parque%20Polanco
Bancos,Chatbot,,Banco,PPOL,50247693292,"Hola, vi la información en el banco, estoy interesado en Parque Polanco",https://wa.me/50247693292?text=Hola%2C%20vi%20la%20informaci%C3%B3n%20en%20el%20banco%2C%20estoy%20interesado%20en%20Parque%20Polanco
Página web,Chatbot,Cualquier call to action de contacto todo dirigido al Chatbot,Web,PSB,50247693292,"Hola, quiero información de Soto Bosque",https://wa.me/50247693292?text=Hola%2C%20quiero%20informaci%C3%B3n%20del%20Soto%20Bosque
Cerramientos y señalización outdoor,Página web,El objetivo es que el cliente conozca más y entonces decida hablar con el chatbot.,Outdoor,PSB,,,
Comunicación en City Cores,Chatbot,Necesario que esté con información para ubicar al usuario,City Core,PSB,50247693292,"Hola, vi la información en un anuncio, estoy interesado en Soto Bosque",https://wa.me/50247693292?text=Hola%2C%20vi%20la%20informaci%C3%B3n%20en%20un%20anuncio%2C%20estoy%20interesado%20en%20Soto%20Bosque
Materiales impresos para activaciones/toques en frío,Página web,El objetivo es que el cliente conozca más y entonces decida hablar con el chatbot.,POP,PSB,,,
Redes sociales Orgánico,Chatbot,Escrito en el copy de cada post,Social Media,PSB,50247693292,"Hola, vi la información en Redes Sociales, estoy interesado en Soto Bosque",https://wa.me/50247693292?text=Hola%2C%20vi%20la%20informaci%C3%B3n%20en%20Redes%20Sociales%2C%20estoy%20interesado%20en%20Soto%20Bosque
Redes sociales Pauta,Llenado de formulario,En horario nocturno el CRM tiene que tener programado que se le asigna a Chatbot,NA,PSB,,,
Redes sociales Pauta,Llenado de formulario,En horario hábil el CRM tiene que tener programado que ingresa como Admin CRM para ser asignado a asesor según la política existente,NA,PSB,,,
Encabezado de fan page,Chatbot/Página web,,Fan Page,PSB,50247693292,"Hola, vi la información en la Fan Page, estoy interesado en Soto Bosque",https://wa.me/50247693292?text=Hola%2C%20vi%20la%20informaci%C3%B3n%20en%20la%20Fan%20Page%2C%20estoy%20interesado%20en%20Soto%20Bosque
Mailings,Chatbot,,Mail,PSB,50247693292,"Hola, vi la información por email, estoy interesado en Soto Bosque",https://wa.me/50247693292?text=Hola%2C%20vi%20la%20informaci%C3%B3n%20por%20email%2C%20estoy%20interesado%20en%20Soto%20Bosque
Bancos,Chatbot,,Banco,PSB,50247693292,"Hola, vi la información en el banco, estoy interesado en Soto Bosque",https://wa.me/50247693292?text=Hola%2C%20vi%20la%20informaci%C3%B3n%20en%20el%20banco%2C%20estoy%20interesado%20en%20Soto%20Bosque
